Year,CommonName,MigrationType,AnnualCount
2011,Blackpoll Warbler,Long distance migrant,2
2011,Black-throated Blue Warbler,Long distance migrant,4
2011,Black-throated Green Warbler,Long distance migrant,0
2011,Blue-winged Warbler,Long distance migrant,0
2011,Canada Warbler,Long distance migrant,1
2011,Cape May Warbler,Long distance migrant,0
2011,Cerulean Warbler,Long distance migrant,0
2011,Yellow-breasted Chat,Long distance migrant,1
2011,Chestnut-sided Warbler,Long distance migrant,0
2011,Connecticut Warbler,Long distance migrant,0
2011,Golden-winged Warbler,Long distance migrant,0
2011,Hooded Warbler,Long distance migrant,0
2011,Kentucky Warbler,Long distance migrant,0
2011,Magnolia Warbler,Long distance migrant,12
2011,Mourning Warbler,Long distance migrant,0
2011,Nashville Warbler,Long distance migrant,3
2011,Orange-crowned Warbler,Long distance migrant,0
2011,Ovenbird,Long distance migrant,19
2011,Western Palm Warbler,Long distance migrant,1
2011,Northern Parula,Long distance migrant,1
2011,Pine Warbler,Short distance migrant,0
2011,Prairie Warbler,Long distance migrant,1
2011,Prothonotary Warbler,Short distance migrant,0
2011,American Redstart,Long distance migrant,14
2011,Tennessee Warbler,Long distance migrant,4
2011,Wilson's Warbler,Long distance migrant,1
2011,Worm-eating Warbler,Long distance migrant,0
2011,Myrtle Warbler,Short distance migrant,11
2011,Yellow-throated Warbler,Short distance migrant,1
2011,Common Yellowthroat,Short distance migrant,10
2011,Scarlet Tanager,Long distance migrant,0
2011,Summer Tanager,Long distance migrant,1
2011,Eastern Towhee,Short distance migrant,2
2011,Chipping Sparrow,Short distance migrant,0
2011,Field Sparrow,Short distance migrant,10
2011,Savannah Sparrow,Short distance migrant,0
2011,Northern Cardinal,Resident,59
2011,White-crowned Sparrow,Short distance migrant,0
2011,White-throated Sparrow,Short distance migrant,71
2011,Slate-colored Junco,Short distance migrant,1
2011,Baltimore Oriole,Long distance migrant,0
2011,Orchard Oriole,Long distance migrant,1
2012,Red-bellied Woodpecker,Resident,0
2012,Downy Woodpecker,Resident,8
2012,Hairy Woodpecker,Resident,2
2012,Yellow-shafted Flicker,Resident,5
2012,Pileated Woodpecker,Resident,2
2012,Blue-headed Vireo,Short distance migrant,1
2012,Philadelphia Vireo,Short distance migrant,6
2012,Red-eyed Vireo,Long distance migrant,8
2012,Warbling Vireo,Short distance migrant,3
2012,White-eyed Vireo,Short distance migrant,10
2012,Yellow-throated Vireo,Short distance migrant,0
2012,Carolina Chickadee,Resident,20
2012,Tufted Titmouse,Resident,18
2012,White-breasted Nuthatch,Resident,3
2012,Carolina Wren,Resident,18
2012,Golden-crowned Kinglet,Short distance migrant,2
2012,Ruby-crowned Kinglet,Short distance migrant,5
2012,Blue-gray Gnatcatcher,Short distance migrant,2
2012,Gray-cheeked Thrush,Long distance migrant,15
2012,Hermit Thrush,Short distance migrant,18
2012,Swainson's Thrush,Long distance migrant,74
2012,Wood Thrush,Long distance migrant,21
2012,Bay-breasted Warbler,Long distance migrant,2
2012,Black-and-white Warbler,Short distance migrant,6
2012,Blackburnian Warbler,Long distance migrant,1
2012,Blackpoll Warbler,Long distance migrant,6
2012,Black-throated Blue Warbler,Long distance migrant,3
2012,Black-throated Green Warbler,Long distance migrant,8
2012,Blue-winged Warbler,Long distance migrant,2
2012,Canada Warbler,Long distance migrant,2
2012,Cape May Warbler,Long distance migrant,2
2012,Cerulean Warbler,Long distance migrant,0
2012,Yellow-breasted Chat,Long distance migrant,2
2012,Chestnut-sided Warbler,Long distance migrant,2
2012,Connecticut Warbler,Long distance migrant,1
2012,Golden-winged Warbler,Long distance migrant,0
2012,Hooded Warbler,Long distance migrant,4
2012,Kentucky Warbler,Long distance migrant,3
2012,Magnolia Warbler,Long distance migrant,28
2012,Mourning Warbler,Long distance migrant,1
2012,Nashville Warbler,Long distance migrant,13
2012,Orange-crowned Warbler,Long distance migrant,0
2012,Ovenbird,Long distance migrant,32
2012,Western Palm Warbler,Long distance migrant,2
2012,Northern Parula,Long distance migrant,3
2012,Pine Warbler,Short distance migrant,0
2012,Prairie Warbler,Long distance migrant,2
2012,Prothonotary Warbler,Short distance migrant,0
2012,American Redstart,Long distance migrant,23
2012,Tennessee Warbler,Long distance migrant,10
2012,Wilson's Warbler,Long distance migrant,6
2012,Worm-eating Warbler,Long distance migrant,0
2012,Myrtle Warbler,Short distance migrant,34
2012,Yellow-throated Warbler,Short distance migrant,1
2012,Common Yellowthroat,Short distance migrant,13
2012,Scarlet Tanager,Long distance migrant,1
2012,Summer Tanager,Long distance migrant,0
2012,Eastern Towhee,Short distance migrant,1
2012,Chipping Sparrow,Short distance migrant,0
2012,Field Sparrow,Short distance migrant,11
2012,Savannah Sparrow,Short distance migrant,0
2012,Northern Cardinal,Resident,85
2012,White-crowned Sparrow,Short distance migrant,1
2012,White-throated Sparrow,Short distance migrant,45
2012,Slate-colored Junco,Short distance migrant,3
2012,Baltimore Oriole,Long distance migrant,7
2012,Orchard Oriole,Long distance migrant,6
2013,Red-bellied Woodpecker,Resident,5
2013,Downy Woodpecker,Resident,3
2013,Hairy Woodpecker,Resident,2
2013,Yellow-shafted Flicker,Resident,2
2013,Pileated Woodpecker,Resident,3
2013,Blue-headed Vireo,Short distance migrant,6
2013,Philadelphia Vireo,Short distance migrant,1
2013,Red-eyed Vireo,Long distance migrant,2
